Common Assumption,Context,Context_Breaking,Question,Answer_context,Answer_breaking
"Generally, a top-ranked player gets more money to play than a bottom-ranked player",Tennis federation has started a new tournament and the top ranked players get more money than new players,"Tennis federation has stated a new tournament and to encourage new players, it is paying them more match fees than even the top-ranked players.","Rogers is a new player, will he get less money than a top ranked player?",Yes,No
"Generally, people like to buy and wear new clothes.",Lisa is fashion enthusiast and likes to buy new clothes for every occasion.,Lisa doesn't like to buy new clothes for attending functions.,"Lisa is invited for a wedding, will she buy new clothes.",Yes,No
"Generally, people like to buy and wear new clothes.",Lisa is fashion enthusiast and likes to buy new clothes for every occasion.,Lisa doesn't like to buy new clothes for attending functions.,"Lisa is invited for a wedding, will she not buy new clothes.",No,Yes
"Generally, people like to buy and wear new clothes.",Lisa likes to buy new clothes for every occasion.,Lisa doesn't feel comfortable wearing new clothes and likes to wear old ones only.,"Lisa is invited for a wedding, will she buy new clothes.",Yes,No
"Generally, people like to buy and wear new clothes.",Lisa never wears old clothes in functions.,Lisa always wear old clothes in functions,Lisa wants to attend a wedding. Will she buy new clothes?,Yes,No
"Generally, people like to buy and wear new clothes.",Lisa never wears old clothes in functions.,Lisa always wear old clothes in functions,Lisa wants to attend a wedding. Will she wear old clothes?,No,Yes
"Generally, people prefer to work in teams",Peter is a team player.,Peter works alone only.,"His boss asked him to join a project which involves working in a team, will he take that project?",Yes,No
"Generally, people prefer to work in teams",Peter enjoys working in a team.,Peter doesn't work with a team and enjoys working alone only.,"His boss asked him to join a project which involves working in a team, will he take that project?",Yes,No
"Generally, people prefer to work in teams",Peter is a team player but doesn't like to work alone on a project.,Peter works alone only.,"His boss asked him to join a project which involves working alone, will he take that project?",No,Yes
"Generally, people prefer to work in teams",Peter enjoys working in a team but doesn't like to work alone on a project.,Peter doesn't work with a team and enjoys working alone only.,"His boss asked him to join a project which involves working alone, will he take that project?",No,Yes
Generally people don't hire inexperienced people to manage the business,Donald is starting a new company and wants to hire an experienced manager for it.,"Donald is starting a new company and as an experiment, he wants to hire a fresher to manage it.","Patrick recently graduated from his college, is he a good candidate to manage Donald's company?",No,Yes
Generally people don't hire inexperienced people to manage the business,Donald is starting a new company and wants to hire an experienced manager for it.,"Donald is starting a new company and as an experiment, he wants to hire a fresher to manage it.","Patrick has 18 years of industry experience, is he a good candidate to manage Donald's company?",Yes,No
Generally people don't hire inexperienced people to manage the business,Ronald only hires a person that is experienced to handle his business.,Ronald only hires a person that is inexperinced to handle his business.,Joan is an experienced candidate applying for the position. will he be considered for hiring?,Yes,No
Generally people don't hire inexperienced people to manage the business,Ronald only hires a person that is experienced to handle his business.,Ronald only hires a person that is inexperinced to handle his business.,Joan is an experienced candidate applying for the position. will he not be considered for hiring?,No,Yes
Generally people don't hire inexperienced people to manage the business,Ronald always hires a person that is experienced to handle his business.,Ronald never hires a person that is experinced to handle his business.,Joan is an experienced candidate applying for the position. will he be considered for hiring?,Yes,No
Generally people don't hire inexperienced people to manage the business,Ronald always hires a person that is experienced to handle his business.,Ronald never hires a person that is experinced to handle his business.,Joan is an experienced candidate applying for the position. will he not be considered for hiring?,No,Yes
Generally people don't hire inexperienced people to manage the business,Ronald always hires a person that is experienced to handle his business.,Ronald never hires a person that is experinced to handle his business.,Joan is an inexperienced candidate applying for the position. will he be considered for hiring?,No,Yes
"Generally, people enjoy playing video games",Brad enjoys playing video games.,Brad likes to play only outdoor physical games.,"Today is a holiday in school, would he like to play video games?",Yes,No
"Generally, people enjoy playing video games",Brad likes to play video games.,Brad doesn't like to play video games,"Today is a holiday in school, would he like to play video games?",Yes,No
"Generally, people enjoy playing video games",Brad enjoys playing video games,Brad doesn't like to play video games,"Today is a holiday in school, will he not like to play video games?",No,Yes
"Generally, people enjoy playing video games",Sarah enjoys playing video games,Sarah enjoys playing games except video games.,"Her brother gifted her a video game, will she enjoy playing it?",Yes,No
"Generally, people enjoy playing video games",Sarah enjoys playing all games ,Sarah enjoys playing games but doesn't like to play video games.,"Her father gifted her a video game, will she like the gift?",Yes,No
"Generally, people like to eat fruit when it is ripe",Jenny likes to eat apples only when they are ripe.,Jenny likes to eat apples only when they are not ripe.,"She picked apples that are ripened, will she like it?",Yes,No
"Generally, people like to eat fruit when it is ripe",Jenny likes to eat apples only when they are fully ripe.,Jenny likes to eat apples only when they are not ripe.,"She picked apples that are half ripened, will she like it?",No,Yes
"Generally, people like to eat fruit when it is ripe",Jenny doesn't to eat apples only when they are not ripe.,Jenny hates to eat apples only when they are ripe.,"She picked apples that are ripened, will she like it?",Yes,No
"Generally, people like to eat fruit when it is ripe",Jenny doesn't to eat apples only when they are not ripe.,Jenny hates to eat apples only when they are ripe.,"She picked apples that are half ripened, will she like it?",No,Yes
Studying regularly can improve academic performance.,Sarah studies regularly and stays up to date.,Sarah has a side job on which she spends a lot of time and does not study regularly.,Will Sarah perform well academically?,Yes,No
Studying regularly can improve academic performance.,Sarah studies regularly and stays up to date.,Sarah has a side job on which she spends a lot of time and does not study regularly.,Will Sarah struggle academically?,No,Yes
Practicing a musical instrument regularly can improve playing skills.,Tom practices his guitar regularly and has improved his playing skills.,Tom practices his guitar irregularly and has not improved his playing skills.,Will Tom have improved playing skills?,Yes,No
Practicing a musical instrument regularly can improve playing skills.,Tom practices his guitar regularly and has improved his playing skills.,Tom practices his guitar irregularly and has not improved his playing skills.,Will Tom struggle with difficult pieces?,No,Yes
Practicing a musical instrument regularly can improve playing skills.,Tom doesn't practice his guitar irregularly and plays properly.a,Tom practices his guitar irregularly and plays improperly.,Will Tom have improved playing skills?,Yes,No
Practicing a musical instrument regularly can improve playing skills.,Tom doesn't practice his guitar irregularly and plays properly.a,Tom practices his guitar irregularly and plays improperly.,Will Tom struggle with difficult pieces?,No,Yes
Regular cleaning can help maintain a clean house.,Mary cleans her house regularly and it looks tidy.,Mary cleans her house irregularly and it looks unclean.,Will Mary's house look tidy?,Yes,No
Regular cleaning can help maintain a clean house.,Mary cleans her house regularly and it looks tidy.,Mary cleans her house irregularly and it looks unclean.,Will Mary's house look messy?,No,Yes
Regular practice can help improve a skill.,Emily practices her dancing regularly and has improved her skills.,Emily practices her dancing irregularly and has not improved her skills.,Will Emily have improved dancing skills?,Yes,No
Regular practice can help improve a skill.,Emily practices her dancing regularly and has improved her skills.,Emily practices her dancing irregularly and has not improved her skills.,Will Emily struggle with learning new moves?,No,Yes
Regular practice can help improve a skill.,Emily doesn't practice her dancing irregularly and does not struggle with learning new moves.,Emily practices her dancing irregularly and struggles with learning new moves.,Will Emily have improved dancing skills?,Yes,No
Regular practice can help improve a skill.,Emily doesn't practice her dancing irregularly and does not struggle with learning new moves.,Emily practices her dancing irregularly and struggles with learning new moves.,Will Emily struggle with learning new moves?,No,Yes
Eating a balanced diet can help maintain good health.,Max eats a balanced diet and feels healthy.,Max eats an unbalanced diet and does not feel healthy.,Will Max feel healthy?,Yes,No
Eating a balanced diet can help maintain good health.,Max eats a balanced diet and feels healthy.,Max eats an unbalanced diet and does not feel healthy.,Will Max feel unhealthy?,No,Yes
Eating a balanced diet can help maintain good health.,Max does not eat junk food regularly and stays away from it.,Max eats junk food regularly.,Will Max feel healthy?,Yes,No
Eating a balanced diet can help maintain good health.,Max does not eat junk food regularly and stays away from it.,Max eats junk food regularly.,Will Max feel unhealthy?,No,Yes
"Generally, people like to have soup when it is hot",Bob only likes to consume hot soup.,Bob only likes to consume cold soup.,"He prepared the soup in the morning, left it in the open for few hours to cool it down. Will he like that soup now?",No,Yes
"Generally, people like to have soup when it is hot",Bob only likes to consume hot soup.,Bob only likes to consume cold soup.,He prepared the soup just now and it is hot. Will he like that soup?,Yes,No
"Generally, people like to have soup when it is hot",Bob likes any soup that is not cold.,Bob doesn't like any soup that is not cold.,He prepared the soup in the morning and left it in the open for few hours to cool it down. Will he like that soup now?,No,Yes
"Generally, people like to have soup when it is hot",Bob likes any soup that is not cold.,Bob doesn't like any soup that is not cold.,He prepared a warm soup in the morning. Will he like that soup?,Yes,No
"Generally, people like puppies",Alice does not like every dog but she likes puppies.,Alice likes every dog but not puppies.,John gifted her a cute little puppy. Will she like the puppy?,Yes,No
"Generally, people like puppies",Alice does not like every dog but she likes puppies.,Alice likes every dog but not puppies.,John gifted her a cute fully grown dog. Will she like that dog?,No,Yes
"Generally, people like puppies",Alice only likes a puppy.,Alice only likes a fully grown dog.,John gifted her a cute little puppy. Will she like the puppy?,Yes,No
"Generally, people like puppies",Alice only likes a puppy.,Alice only likes a fully grown dog.,John gifted her a cute fully grown dog. Will she like that dog?,No,Yes
"Generally, people like scented soap",Zoe likes all kinds of soaps except ones without scent.,Zoe likes all kinds of soap except scented ones.,She was gifted a fragrant scented soap. Will she like her gift?,Yes,No
"Generally, people like scented soap",Zoe likes all kinds of soaps except ones without scent.,Zoe likes all kinds of soap except scented ones.,She was gifted a non-scented soap. Will she like her gift?,No,Yes
"Generally, people like scented soap",Zoe only likes scented soaps.,Zoe only likes non-scented soaps,She was gifted a fragrant scented soap. Will she like her gift?,Yes,No
"Generally, people like scented soap",Zoe only likes scented soaps.,Zoe only likes non-scented soaps,She was gifted a non-scented soap. Will she like her gift?,No,Yes
"Generally, people don't like to work on hard maths problems",Alex is bad in Maths and prefers to work on easy problems.,Alex is good in Maths and enjoys working only on tough problems.,He was given challenging maths problems in the homework. Will he like it?,No,Yes
"Generally, people don't like to work on hard maths problems",Alex is bad in Maths and prefers to work on easy problems.,Alex is good in Maths and enjoys working only on tough problems.,He was given a very simple math problem in his homework. Will he prefer that over a hard problem?,Yes,No
"Generally, people don't like to work on hard maths problems",Alex is bad in Maths and enjoys working on any problem that is not tough.,Alex is good in Maths and doesn't enjoy working on any problem that is not tough.,He was given challenging maths problems in the homework. Will he like it?,No,Yes
"Generally, people don't like to work on hard maths problems",Alex is bad in Maths and enjoys working on any problem that is not tough.,Alex is good in Maths and doesn't enjoy working on any problem that is not tough.,He was given a very simple math prblem in his homework. Will he enjoy it?,Yes,No
"Generally, people like to hang out with friends",Kevin dislikes everything except hanging out with his friends after school.,Kevin likes everything except hanging out with his friends after school.,"His friends from school invited him to hang out with them, will he enjoy it?",Yes,No
"Generally, people like to hang out with friends",Kevin dislikes everything except hanging out with his friends after school.,Kevin likes everything except hanging out with his friends after school.,"His friends from school doesn't invite him to hang out with them, will he enjoy it?",No,Yes
"Generally, people like to hang out with friends",Kevin doesn't like being alone after school.,Kevin only likes to be alone after school and nothing else.,"His friends invited him to hang out with them after school, will he enjoy it?",Yes,No
"Generally, people like to hang out with friends",Kevin doesn't like being alone after school.,Kevin only likes to be alone after school and nothing else.,"His friends did not invite him to hang out with them after school, will he enjoy it?",No,Yes
"Generally, people do not like to work on holidays",Walter enjoys doing things other than work on holidays.,Walter only likes to work and doesn't enjoy anything else.,"He was called to work on a holiday, will he enjoy it?",No,Yes
"Generally, people do not like to work on holidays",Walter enjoys doing things other than work on holidays.,Walter only likes to work and doesn't enjoy anything else.,"He wasn't asked to work on a holiday, will he like it?",Yes,No
"Generally, people do not like to work on holidays",Walter likes relaxation time but doesn't enjoy anything else.,Walter doesn't like relaxation time but enjoys everything else.,"He was called to work on a holiday, will he like it?",No,Yes
"Generally, people do not like to work on holidays",Walter likes relaxation time but doesn't enjoy anything else.,Walter doesn't like relaxation time but enjoys everything else.,"He wasn't called to work on a holiday, will he like it?",Yes,No
"Generally, people enjoy beaches",Michael likes swimming on beaches,Michael hates swimming on beaches but likes everything else.,"He went on a family vacation on a nice beach, will he go for a swim?",Yes,No
"Generally, people enjoy beaches",Michael likes swimming on beaches,Michael hates swimming on beaches but likes everything else.,"He went on a family vacation on a nice beach, will he avoid going for a swim?",No,Yes
"Generally, people enjoy beaches",Michael hates to stay out of water on beaches.,Michael loves to stay out of water on beaches,"He went on a family vacation on a nice beach, will he prefer to go for a swim?",Yes,No
"Generally, people enjoy beaches",Michael hates to stay out of water on beaches.,Michael loves to stay out of water on beaches,"He went on a family vacation on a nice beach, will he avoid going for a swim?",No,Yes
"Generally, people like a clean room",Ryan only likes his room when it is neat and tidy.,Ryan only likes his room when it is messy and untidy.,"His mother cleaned his room, will he be happy?",Yes,No
"Generally, people like a clean room",Ryan only likes his room when it is neat and tidy.,Ryan only likes his room when it is messy and untidy.,"His mother left his room messy and untidy, will he be happy?",No,Yes
"Generally, people like a clean room",Ryan hates his room to be messy,Ryan doesn't like his room when it is clean but likes it otherwise.,"His mother cleaned his room, will he be happy?",Yes,No
"Generally, people like a clean room",Ryan hates his room to be messy,Ryan doesn't like his room when it is clean but likes it otherwise.,"His mother left his room messy and untidy, will he be happy?",No,Yes
"Generally, people likes to go for a run when its pleasant weather",David likes to run only when it is not raining.,David likes to run only when it is raining.,"Today, it's pleasant weather outside. Will he like going out for a run?",Yes,No
"Generally, people likes to go for a run when its pleasant weather",David likes to run only when it is not raining.,David likes to run only when it is raining.,"Today, it's raining. Will he like going out for a run?",No,Yes
"Generally, people likes to go for a run when its pleasant weather","David likes to go for a run in any weather, including rain.",David doesn't like to go for a run in any weather except rain.,"Today, it's pleasant weather outside. Will he like going out for a run?",Yes,No
"Generally, people likes to go for a run when its pleasant weather","David likes to go for a run in any weather, including rain.",David doesn't like to go for a run in any weather except rain.,"Today, it's raining. Will he like going out for a run?",No,Yes
"Usually, people like to talk when they are around other people",Roger only talks when there is someone around.,Roger only talks when there is no one around.,There are people in the room. Will he talk?,Yes,No
"Usually, people like to talk when they are around other people",Roger only talks when there is someone around.,Roger only talks when there is no one around.,There is no one in the room. WIll he talk?,No,Yes
"Usually, people like to talk when they are around other people",Roger always talks when there is anyone around.,Roger never talks when there is anyone around.,There are people in the room. Will he talk?,Yes,No
"Usually, people like to talk when they are around other people",Roger always talks when there is anyone around.,Roger never talks when there is anyone around.,There is no one in the room. WIll he talk?,No,Yes
People like to play with their friends,Sammy plays all the time and always with his friends.,Sammy plays all the time but never with his friends.,His friends are around. Will he play?,Yes,No
People like to play with their friends,Sammy plays all the time and always with his friends.,Sammy plays all the time but never with his friends.,Sammy is alone in his room. Will he play?,No,Yes
People like to play with their friends,Sammy likes to play with others.,Sammy only likes to play alone.,His friends are around. Will he play?,Yes,No
People like to play with their friends,Sammy likes to play with others.,Sammy only likes to play alone.,Sammy is alone in his room. Will he play?,No,Yes
People like to cook food for family,Gina cooks food for her family only and not anyone else.,Gina cooks food for everyone except her family.,Her family has gathered around. Is she likely to cook food?,Yes,No
People like to cook food for family,Gina cooks food for her family only and not anyone else.,Gina cooks food for everyone except her family.,Gina's sister is hungry. Is she likely to cook food for her sister?,Yes,No
People like to cook food for family,Gina likes to cook for others.,Gina likes to cook only for herself,Her family has gathered around. Will she cook food?,Yes,No
People like to cook food for family,Gina likes to cook for others.,Gina likes to cook only for herself,Gina is hungry. Will she cook food for herself?,No,Yes
People like to get gifts during Christmas,Tommy likes getting gifts during Christmas.,Tommy does not like getting gifts during Christmas.,He didn't get any gifts during Christmas. Will he be happy?,No,Yes
People like to get gifts during Christmas,Tommy likes to get gifts during Christmas.,Tommy does not like getting gifts during Christmas.,He got a lot of gifts for Christmas. Will he be happy?,Yes,No
"Usually, people like mangoes that are fully ripen",Tina only likes mangoes when they are ripe.,Tina only likes mangoes when they are not ripe.,She got ripe mangoes. Will she like it?,Yes,No
"Usually, people like mangoes that are fully ripen",Tina only likes mangoes when they are ripe.,Tina only likes mangoes when they are not ripe.,She got unripe mangoes. Will she like it?,No,Yes
"Usually, people like mangoes that are fully ripen",Tina always eats mangoes only when they are ripe.,Tina never eats mangoes except when they are unripe.,She got ripe mangoes. Will she like it?,Yes,No
"Usually, people like mangoes that are fully ripen",Tina always eats mangoes except when they are ripe.,Tina never eats mangoes except when they are unripe.,She got unripe mangoes. Will she like it?,No,Yes
"Generally, people like to learn new skills",Johny likes to learn new skills.,Johny does not like to learn new skills.,He did not learn any new skill today. Is he happy?,No,Yes
"Generally, people like to learn new skills",Johny likes to learn new skills.,Johny does not like to learn new skills.,He learnt a new skill during his work today. Is he happy?,Yes,No
"Generally, people like to learn new skills",Johny loves to learn new skills.,Johny hates to learn new skills.,He did not learn any new skill today. Is he happy?,No,Yes
"Generally, people like to learn new skills",Johny loves to learn new skills.,Johny hates to learn new skills.,He learnt a new skill during his work today. Is he happy?,Yes,No
"Usually, people like to eat cheese",Tony likes to eat cheese.,Tony does not like to eat cheese.,Today he got a toast with cheese. Will he like it?,Yes,No
"Usually, people like to eat cheese",Tony likes to eat cheese.,Tony does not like to eat cheese.,Today he got a toast with no cheese. Will he like it?,No,Yes
"Usually, people like to eat cheese",Tony loves to eat cheese.,Tony hates to eat cheese.,Today he got a toast with cheese. Will he like it?,Yes,No
"Usually, people like to eat cheese",Tony loves to eat cheese.,Tony hates to eat cheese.,Today he got a toast with no cheese. Will he like it?,No,Yes
Generally people exercise to get fit and not rely on a magic pill.,Bernard cannot get fit with a magic pill.,Bernard can only get fit with a magic pill.,Bernard takes that pill and doesn't exercise at all. Will he get fit?,No,Yes
Generally people exercise to get fit and not rely on a magic pill.,Bernard cannot get fit with a magic pill.,Bernard can only get fit with a magic pill.,Bernard doesn't takes that pill but works out regularly. Will he get fit?,Yes,No
Generally people exercise to get fit and not rely on a magic pill.,Bernard can get fit without a magic pill.,Bernard cannot get fit except with a magic pill.,Bernard takes that pill and doesn't exercise at all. Will he get fit?,No,Yes
Generally people exercise to get fit and not rely on a magic pill.,Bernard can get fit without a magic pill.,Bernard cannot get fit except with a magic pill.,Bernard doesn't takes that pill. Will he get fit?,Yes,No
"Generally, pigs do not go to a restaurant",A new restaurant is opened that does not allow pigs in the restaurant.,A new restaurant is opened that allows only pigs in the restaurant.,John takes his pig into the restaurant. Will the restaurant allow it?,No,Yes
"Generally, pigs do not go to a restaurant",A new restaurant is opened that does not allow pigs in the restaurant.,A new restaurant is opened that only allows pigs in the restaurant.,John is a 40 year old married man. Will the restaurant allow him?,Yes,No
"Generally, pigs do not go to a restaurant",A new restaurant is opened that accepts everyone except pigs.,A new restaurant is opened that rejects anyone except pigs.,John takes his pig into the restaurant. Will the restaurant allow it?,No,Yes
"Generally, pigs do not go to a restaurant",A new restaurant is opened that accepts everyone except pigs.,A new restaurant is opened that rejects anyone except pigs.,"John is a 40 year old married man, will the restaurant allow him?",Yes,No
"Generally, businesses need to make a profit to be successful",Raj discovered a way to make a business unsuccessful even when it is in profit.,Raj discovered a way to make a business succesful only when it is in loss.,"Raj's new business doesn't have any profit, will it be successful?",No,Yes
"Generally, businesses need to make a profit to be successful",Raj discovered a way to make a business unsuccessful even when it is in profit.,Raj discovered a way to make a business succesful only when it is in loss.,"Raj's new business doesn't have any profit, will it be a failure?",Yes,No
"Generally, businesses need to make a profit to be successful","Raj can make a business successful if it is in profit, but he cannot otherwise.",Raj cannot make a business succesful if it is in profit but he can otherwise.,"Raj's new business doesn't have any profit, will it be successful?",No,Yes
"Generally, businesses need to make a profit to be successful","Raj can make a business successful if it is in profit, but he cannot otherwise.",Raj cannot make a business succesful if it is in profit but he can otherwise.,"Raj's new business doesn't have any profit, will it be a failure?",Yes,No
Generally companies hire employees that are adults,A new company hires only adults as their employees.,A new company hires only teenagers as their employees.,"Emma is a teenager, will the company hire her?",No,Yes
Generally companies hire employees that are adults,A new company hires only adults as their employees.,A new company hires only teenagers as their employees.,"Emma is an adult, will the company hire her?",Yes,No
Generally companies hire employees that are adults,A new company only hires people who are not teenagers as their employees.,A new company doesn't hire anybody who is not a teenager as their employees.,"Emma is a teenager, will the company consider hiring her?",No,Yes
Generally companies hire employees that are adults,A new company only hires people who are not teenagers as their employees.,A new company doesn't hire anybody who is not a teenager as their employees.,"Emma is an 30 year old woman, will the company consider hiring her?",Yes,No
"Generally, animals aren't allowed in a gym",Ben did not allow any animals to come in his gym.,Ben allowed only animals to come in his gym.,Tim wants to take a monkey to that gym. Will he be allowed to do so?,No,Yes
"Generally, animals aren't allowed in a gym",Ben did not allow any animals to come in his gym.,Ben allowed only animals to come in his gym.,"Tim, a 7th grade student wants to go to that gym. Will he be allowed to enter?",Yes,No
"Generally, animals aren't allowed in a gym",Ben allows humans to go to his gym.,Ben doesn't allows humans to go to his gym.,Tim wants to take a monkey to that gym. Will he be allowed to do so?,No,Yes
"Generally, animals aren't allowed in a gym",Ben allows humans to go to his gym.,Ben doesn't allows humans to go to his gym.,Tim wants to go to that gym. Will he be allowed to do so?,Yes,No
People sleep at night.,Michael does not like to sleep in daytime and sleeps only during the night,Michael likes to sleep in daytime and not in the night,Is Michael likely to be awake at night?,No,Yes
People sleep at night.,Michael does not like to sleep in daytime and sleeps only during the night,Michael likes to sleep in daytime and not in the night,Is Michael likely to be asleep during daytime ?,No,Yes
People sleep at night.,Michael loves to sleep at night.,Michael hates to sleep at the night,Is Michael awake at night?,No,Yes
People sleep at night.,Michael loves to sleep at night.,Michael hates to sleep at the night,Is Michael asleep at night?,Yes,No
People take baths every day.,Aryan bathes every day except weekends.,Aryan only bathes on weekends.,"Aryan took a bath today, is it a weekday?",Yes,No
People take baths every day.,Aryan bathes every day except weekends.,Aryan only bathes on weekends.,"Aryan took a bath today, is it a weekend?",No,Yes
People take baths every day.,Aryan only takes a bath when it is a weekday.,Aryan only takes a bath when it is not weekday.,"Aryan took a bath today, is it a weekday?",Yes,No
People take baths every day.,Aryan only takes a bath when it is a weekday.,Aryan only takes a bath when it is not weekday.,"Aryan took a bath today, is it a weekend?",No,Yes
People prefer to not talk during movies in theater.,Max watches movies without talking.,Max watches movies only while talking.,Max is watching a movie in the theater. Will he talk while watching?,No,Yes
People prefer to not talk during movies in theater.,Max watches movies without talking.,Max watches movies only while talking.,Max is watching a movie in the theater. Will he keep quiet while watching?,Yes,No
People prefer to not talk during movies in theater.,Max watches movies silently.,Max cannot watch movies silently.,Max is watching a movie in the theater. Will he talk while watching?,No,Yes
People prefer to not talk during movies in theater.,Max watches movies silently.,Max cannot watch movies silently.,Max is watching a movie in the theater. Will he keep quiet while watching?,Yes,No
"Generally, people do jobs for money.",Ava will continue at her job only if she is paid.,Ava will continue at her job only if she is not paid.,Will Ava continue her job if she does not get paid?,No,Yes
"Generally, people do jobs for money.",Ava will continue at her job only if she is paid.,Ava will continue at her job only if she is not paid.,Will Ava continue her job if she gets paid?,Yes,No
"Generally, people do jobs for money.",Ava will stay in her job unless she is not paid.,Ava will leave her job only if she is paid.,Will Ava continue her job if she does not get paid?,No,Yes
"Generally, people do jobs for money.",Ava will stay in her job unless she is not paid.,Ava will leave her job only if she is paid.,Will Ava continue her job if she gets paid?,Yes,No
People need clothing to cover their bodies.,Jack only goes out wearing clothes.,Jack only goes out without wearing any clothes.,Will Jack wear clothes when he goes out?,Yes,No
People need clothing to cover their bodies.,Jack only goes out wearing clothes.,Jack only goes out without wearing any clothes.,Will Jack go out without wearing any clothes?,No,Yes
People need clothing to cover their bodies.,Jack always goes out wearing clothes.,Jack never goes out wearing any clothes,Will Jack wear clothes when he goes out?,Yes,No
People need clothing to cover their bodies.,Jack always goes out wearing clothes.,Jack never goes out wearing any clothes,Will Jack go out without wearing any clothes?,No,Yes
People prefer to stay indoors when it is raining.,David never goes outdoors when it is raining.,David always goes outdoors when it is raining.,Will David remain indoors during rain?,Yes,No
People prefer to stay indoors when it is raining.,David never goes outdoors when it is raining.,David always goes outdoors when it is raining.,Will David go outdoors during rain?,No,Yes
People prefer to stay indoors when it is raining.,David always remains indoors when it is raining.,David never remains indoors when it is raining.,Will David remain indoors during rain?,Yes,No
People prefer to stay indoors when it is raining.,David always remains indoors when it is raining.,David never remains indoors when it is raining.,Will David go outdoors during rain?,No,Yes
"Generally, people prefer cold beverages in summer.",Alex only drinks cold beverages in summer.,Alex only drinks hot beverages in summer.,It is a hot summer day. Will Alex prefer hot beverage over cold beverage?,No,Yes
"Generally, people prefer cold beverages in summer.",Alex only drinks cold beverages in summer.,Alex only drinks hot beverages in summer.,It is a hot summer day. Will Alex prefer cold beverage over hot beverage?,Yes,No
"Generally, people prefer cold beverages in summer.",Alex always drinks cold beverages in summer.,Alex never drinks cold beverages in summer.,It is a hot summer day. Will Alex prefer hot beverage over cold beverage?,No,Yes
"Generally, people prefer cold beverages in summer.",Alex always drinks cold beverages in summer.,Alex never drinks cold beverages in summer.,It is a hot summer day. Will Alex prefer cold beverage over hot beverage?,Yes,No
People usually prefer to eat food during the day,Robert only eats in the daytime.,Robert only eats in the night.,"It is night time, will Robert eat anything?",No,Yes
People usually prefer to eat food during the day,Robert only eats in the daytime.,Robert only eats in the night.,"It is daytime, will Robert eat something?",Yes,No
People usually prefer to eat food during the day,Robert always eats in the daytime.,Robert never eats in the daytime.,"It is night time, will Robert eat anything?",No,Yes
People usually prefer to eat food during the day,Robert always eats in the daytime.,Robert never eats in the daytime.,"It is daytime, will Robert eat something?",Yes,No
